client_reference,claim_number,liquidation_number,claim_id,gestiones_activas,gestiones_total,inspecciones_total,inspecciones_activas,prioridad,accion,motivo
202605455,226015071,L-000000923,1db7fdbd-464f-46ab-b304-f05775597186,2,2,1,1,1,MANTENER,Inspeccion (prioridad max)
202605455,226015071,L-000001069,39bf0ae2-75ed-48f7-827e-a42aba2ecdec,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605456,226015076,L-000000938,073ea551-5c06-4776-bffd-938169a8da58,2,2,1,1,1,MANTENER,Inspeccion (prioridad max)
202605456,226015076,L-000001228,3d2eb20d-c961-480a-a96c-28b3af229b96,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605457,226015059,L-000000943,904a35e5-2808-4e5b-bd4e-a473e4b10778,1,1,0,0,1,MANTENER,Gestiones activas
202605457,226015059,L-000001243,7241119a-2f00-4cb0-9816-fce9429199d9,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605459,226015041,L-000000991,bb2ac1d0-19a7-4176-bcf4-0051629dee1c,1,1,0,0,1,MANTENER,Gestiones activas
202605459,226015041,L-000001147,386567f4-5125-4563-af58-bb25218d59e7,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605460,226015080,L-000000977,e980d31f-9a19-4868-8c3f-045029f744f5,1,1,0,0,1,MANTENER,Gestiones activas
202605460,226015080,L-000001221,0ce76716-412a-4f64-ab73-ab7333d6e8db,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605461,226015061,L-000000981,815c025f-9c26-4c5b-b78a-f2b098d7b77e,1,1,0,0,1,MANTENER,Gestiones activas
202605461,226015061,L-000001253,efe38d30-d5b4-4d7b-a8bb-6fbf91507220,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605462,226015082,L-000000912,d463ef29-0cc7-4ba3-ac0f-a7fe58638cda,1,1,0,0,1,MANTENER,Gestiones activas
202605462,226015082,L-000001094,eee3530c-98c6-44c6-b20e-26615129f327,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605463,226015056,L-000000921,3bfd0109-7e00-4f0b-b0c8-b69cef0f3570,1,1,0,0,1,MANTENER,Gestiones activas
202605463,226015056,L-000001193,d6085d61-2949-49b3-8d94-1e4e2a246f98,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605464,226015075,L-000000908,f16d4f5c-2fd2-42bb-a561-25080eafd7a5,1,1,0,0,1,MANTENER,Gestiones activas
202605464,226015075,L-000001182,ade3c157-dc88-4760-9d2a-ac74bfd3cd70,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605465,226015038,L-000000906,5b6317c4-d640-47a1-9bff-7efa551d4317,1,1,0,0,1,MANTENER,Gestiones activas
202605465,226015038,L-000001112,3b74f4be-f31b-43aa-9ece-c3ac5b35c166,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605467,226015054,L-000000951,07b902c9-66fa-476d-9126-e902f485f456,1,1,0,0,1,MANTENER,Gestiones activas
202605467,226015054,L-000001280,91fd6383-cfb6-435e-bd62-1912a3974170,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605468,226015053,L-000000959,9c27c1b8-a851-4738-8608-0210f8100622,1,1,0,0,1,MANTENER,Gestiones activas
202605468,226015053,L-000001113,ac6d6c39-963f-49f7-84a3-ae4c0fdb4451,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605469,226015057,L-000000924,4d1a47ed-9335-403e-95ef-621fb3006ca2,1,1,0,0,1,MANTENER,Gestiones activas
202605469,226015057,L-000001259,bade402f-6ee8-4cc6-b5b4-3d33a7fe5e69,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605470,226015050,L-000000931,2d1e8836-1077-493d-827a-74a71a7c72bb,1,1,0,0,1,MANTENER,Gestiones activas
202605470,226015050,L-000001127,46a5f918-94ee-467d-8a6f-57078700da02,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605471,226015074,L-000000997,4eefb293-beda-487a-838b-f1827f8fdbac,1,1,0,0,1,MANTENER,Gestiones activas
202605471,226015074,L-000001229,b6010111-7633-4178-bed3-b0778b57152d,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605472,226015085,L-000001002,f7745f52-edfd-4dff-ad02-a5ede0b5f19c,1,1,0,0,1,MANTENER,Gestiones activas
202605472,226015085,L-000001115,7ebb884c-8ab9-471d-8e80-1ecbdc8a251e,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605477,226015058,L-000000994,7164918c-7767-49a1-8f28-09ebe19eb259,1,1,0,0,1,MANTENER,Gestiones activas
202605477,226015058,L-000001128,e5e4efb4-0c25-458d-8b11-9876037371d1,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605478,226015049,L-000000939,c66f2340-3e64-49e2-abe7-53e982895d72,1,1,0,0,1,MANTENER,Gestiones activas
202605478,226015049,L-000001230,b17630d1-adfe-424e-b128-10d4bab5f349,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605479,226015035,L-000000944,05de735f-b28c-42dc-be55-721559799325,1,1,0,0,1,MANTENER,Gestiones activas
202605479,226015035,L-000001154,512ac74f-f994-4e54-be45-00a00798731c,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605482,226015086,L-000001005,d753f71c-56a1-4069-b1ba-04936e83af94,1,1,0,0,1,MANTENER,Gestiones activas
202605482,226015086,L-000001165,f6675a56-0820-4edb-aa55-a6dffd8a1de8,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605483,226015042,L-000001009,30133185-db2f-4273-86d7-19dc8a4661af,1,1,0,0,1,MANTENER,Gestiones activas
202605483,226015042,L-000001270,6ebad429-22c4-4fd2-8f92-31621c452dff,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605484,226015043,L-000000966,656a6b8d-6d79-4372-9731-331c804908a7,1,1,0,0,1,MANTENER,Gestiones activas
202605484,226015043,L-000001205,536045c7-d3df-47de-9ae4-cd019f63a6cd,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605485,226015036,L-000000925,cd3d5ace-5854-46a1-b1d7-4ff8e58feefd,2,2,1,1,1,MANTENER,Inspeccion (prioridad max)
202605485,226015036,L-000001071,109887ee-ec79-43a0-b5ac-e499d37a7e11,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
